hold_ms,position,rel_x
848.2,5.7081,243
69.99,0.3054,13
904.05,6.4362,274
908.06,6.4362,274
836.05,5.5671,237
860.07,5.9664,254
888.08,6.3893,272
905.89,6.5067,277
878.03,6.2718,267
884.09,6.4362,274
845.85,5.6846,242
890.39,6.4362,274
730.02,4.2282,180
