hold_ms,position,rel_x
76.55,0.4698,20
194.06,0.6107,26
309.88,0.9161,39
339.81,1.1275,48
430.05,1.5503,66
419.94,1.5034,64
354.11,1.151,49
540.12,2.2785,97
383.99,1.2685,54
570.06,2.5369,108
820.05,5.3557,228
260.06,0.8221,35
543.94,2.3255,99
816.08,5.3557,228
370.09,1.198,51
641.95,3.2181,137
796.13,5.1208,218
544.13,2.2785,97
630.22,3.0772,131
324.04,1.057,45
754.07,4.557,194
64.06,0.4228,18
